name,abbreviation,max_faculty_capacity,current_number_of_faculty,academic_division
Art,EENG,92,10,Engineering
Physics,ENG,83,14,Engineering
English,PHYS,54,11,Science
Electrical Engineering,MATH,26,20,Engineering
Computer Science,PHYS,93,19,Engineering
Computer Science,EENG,24,18,Engineering
Computer Science,ART,71,11,Arts
Art,PHYS,72,15,Arts
Physics,CS,31,15,Engineering
Electrical Engineering,ART,23,8,Engineering
Art,MATH,94,19,Science
Art,ENG,56,6,Science
English,ENG,26,11,Science
Electrical Engineering,CS,88,7,Science
Art,EENG,52,10,Science
Electrical Engineering,PHYS,48,9,Engineering
Electrical Engineering,PHYS,29,10,Arts
Mathematics,EENG,81,16,Arts
Electrical Engineering,MATH,59,19,Engineering
Physics,MATH,50,14,Arts
Computer Science,CS,35,12,Engineering
Electrical Engineering,ENG,95,6,Engineering
Mathematics,ART,55,15,Engineering
Electrical Engineering,MATH,68,17,Science
Art,EENG,95,19,Engineering
Physics,ART,45,6,Science
Electrical Engineering,ART,46,10,Arts
Computer Science,MATH,35,15,Arts
Art,EENG,45,13,Science
Art,ART,59,14,Science
Mathematics,ART,27,18,Arts
English,EENG,56,16,Arts
Electrical Engineering,EENG,79,11,Science
Art,PHYS,93,16,Engineering
Computer Science,ART,36,17,Arts
Physics,ENG,94,19,Science
Physics,ART,20,16,Science
Electrical Engineering,PHYS,77,7,Science
Electrical Engineering,ENG,40,20,Engineering
Physics,CS,63,7,Science
Mathematics,EENG,98,11,Engineering
Art,ART,43,15,Science
Art,ART,61,6,Science
Electrical Engineering,ENG,42,20,Engineering
Mathematics,ENG,94,13,Science
Electrical Engineering,MATH,47,6,Arts
Physics,ENG,77,11,Arts
English,PHYS,20,16,Arts
Physics,ART,55,20,Engineering
Art,MATH,71,9,Science
Physics,EENG,84,10,Engineering
Mathematics,ART,20,11,Arts
English,MATH,25,11,Arts
Art,EENG,63,15,Arts
Physics,PHYS,23,9,Science
English,ART,81,14,Engineering
Electrical Engineering,EENG,60,17,Arts
Electrical Engineering,EENG,81,12,Arts
Art,MATH,88,9,Engineering
Art,MATH,60,12,Science
English,ART,87,16,Science
Computer Science,ENG,31,6,Science
Mathematics,ART,30,7,Science
Art,ENG,77,17,Science
Electrical Engineering,EENG,56,16,Arts
English,PHYS,71,5,Engineering
Electrical Engineering,EENG,56,5,Science
Mathematics,ART,85,14,Science
Electrical Engineering,EENG,74,13,Science
Physics,PHYS,55,19,Science
English,PHYS,29,16,Science
Computer Science,CS,54,14,Engineering
Computer Science,EENG,71,16,Engineering
English,MATH,89,14,Arts
English,ART,53,20,Science
Art,PHYS,30,19,Engineering
Electrical Engineering,CS,71,13,Arts
Electrical Engineering,MATH,43,10,Engineering
Art,EENG,40,19,Arts
English,EENG,90,10,Arts
Physics,EENG,38,7,Science
Mathematics,PHYS,34,6,Science
English,ART,21,15,Science
Art,ART,26,6,Science
English,ART,56,13,Science
Computer Science,ART,41,7,Science
English,ENG,31,9,Science
Mathematics,CS,40,13,Science
Mathematics,ART,99,14,Engineering
Mathematics,EENG,100,18,Engineering
Physics,MATH,28,10,Science
Mathematics,PHYS,79,18,Science
Physics,PHYS,54,6,Engineering
Art,ENG,46,8,Engineering
English,PHYS,37,13,Engineering
Computer Science,PHYS,50,20,Arts
Mathematics,MATH,88,14,Arts
Art,ART,27,12,Science
English,PHYS,27,10,Science
Electrical Engineering,PHYS,88,13,Science
Art,ART,66,18,Engineering
Mathematics,CS,54,6,Arts
Electrical Engineering,CS,62,14,Engineering
Physics,CS,44,13,Engineering
Electrical Engineering,ENG,58,7,Arts
Art,MATH,53,7,Science
Mathematics,EENG,79,11,Engineering
Physics,CS,99,15,Engineering
Computer Science,CS,22,18,Arts
Mathematics,PHYS,91,14,Engineering
Art,MATH,22,13,Arts
Physics,PHYS,78,8,Science
Art,ENG,87,16,Engineering
English,EENG,35,9,Arts
Computer Science,EENG,40,12,Arts
Electrical Engineering,MATH,37,19,Arts
Art,ENG,56,20,Science
Physics,ENG,21,20,Science
English,ENG,100,17,Engineering
Physics,PHYS,38,14,Engineering
English,PHYS,54,11,Engineering
Art,PHYS,21,8,Engineering
Computer Science,CS,55,7,Science
Art,ART,91,6,Engineering
Electrical Engineering,ENG,25,6,Arts
English,MATH,80,9,Engineering
English,EENG,93,16,Engineering
Mathematics,MATH,57,12,Engineering
Electrical Engineering,EENG,72,18,Engineering
Physics,PHYS,100,5,Science
English,CS,69,20,Engineering
Physics,EENG,85,16,Science
Computer Science,CS,37,5,Science
Computer Science,ENG,29,14,Science
Electrical Engineering,MATH,49,10,Engineering
Mathematics,CS,55,19,Engineering
Physics,PHYS,48,5,Science
Art,ENG,68,19,Science
Electrical Engineering,MATH,47,16,Engineering
Computer Science,CS,41,20,Arts
Mathematics,MATH,94,15,Arts
Art,ART,28,8,Arts
Physics,ART,42,17,Science
Mathematics,CS,98,5,Science
Art,CS,33,18,Engineering
Mathematics,ENG,28,13,Engineering
Physics,ENG,92,20,Science
Physics,EENG,87,19,Arts
English,CS,92,11,Engineering
English,MATH,100,17,Science
Physics,CS,90,5,Science
Art,MATH,80,20,Engineering
Mathematics,MATH,59,19,Arts
Art,PHYS,44,19,Science
English,EENG,57,8,Arts
Art,ART,65,11,Science
Art,MATH,64,17,Science
Computer Science,CS,93,12,Arts
Art,ART,84,10,Arts
Physics,EENG,94,11,Science
Electrical Engineering,ENG,22,19,Engineering
Mathematics,MATH,92,7,Science
Mathematics,ART,85,15,Arts
Art,EENG,82,5,Science
Art,ART,40,15,Engineering
Computer Science,MATH,70,5,Science
English,EENG,97,10,Science
English,ENG,25,9,Arts
Computer Science,PHYS,57,17,Engineering
English,PHYS,60,16,Engineering
Physics,ENG,26,20,Engineering
English,CS,87,10,Science
Mathematics,ART,77,15,Science
Computer Science,ENG,86,19,Engineering
Physics,ENG,63,20,Engineering
English,MATH,34,10,Arts
Mathematics,MATH,59,9,Arts
Electrical Engineering,PHYS,23,12,Arts
Mathematics,PHYS,83,7,Engineering
Mathematics,ENG,42,15,Arts
Physics,MATH,72,12,Arts
English,CS,96,12,Engineering
Mathematics,PHYS,48,12,Arts
Art,ENG,82,17,Arts
Mathematics,MATH,43,19,Engineering
English,EENG,67,15,Engineering
Electrical Engineering,MATH,61,12,Science
Physics,PHYS,96,16,Engineering
Physics,ART,38,20,Engineering
English,ART,85,10,Arts
Electrical Engineering,ART,69,15,Science
Mathematics,ENG,80,15,Engineering
Computer Science,PHYS,41,20,Arts
English,EENG,44,8,Engineering
Physics,EENG,80,7,Science
Electrical Engineering,PHYS,49,10,Arts
English,ENG,97,13,Engineering
English,MATH,86,20,Arts
Physics,PHYS,82,7,Arts
English,CS,43,20,Science
English,MATH,98,16,Science
English,MATH,27,7,Arts
Computer Science,EENG,80,14,Arts
English,MATH,72,9,Arts
Physics,PHYS,77,20,Engineering
Mathematics,MATH,39,17,Science
Mathematics,ENG,69,7,Engineering
English,MATH,62,18,Engineering
Physics,CS,39,19,Engineering
Art,ART,28,20,Engineering
Electrical Engineering,MATH,28,12,Science
Electrical Engineering,CS,66,12,Science
Electrical Engineering,EENG,90,15,Arts
Computer Science,MATH,50,16,Engineering
Mathematics,EENG,24,11,Arts
Mathematics,ART,24,19,Engineering
Art,MATH,71,13,Engineering
Electrical Engineering,PHYS,84,6,Science
Physics,MATH,45,19,Arts
Art,ENG,93,13,Engineering
English,EENG,73,8,Science
Mathematics,EENG,52,18,Engineering
Physics,MATH,24,20,Arts
English,CS,22,10,Arts
Art,CS,33,14,Engineering
Computer Science,ART,28,9,Arts
Computer Science,ART,72,8,Engineering
Electrical Engineering,PHYS,66,14,Arts
Electrical Engineering,MATH,36,10,Science
Computer Science,ART,33,14,Science
Physics,PHYS,64,11,Science
Electrical Engineering,PHYS,88,17,Arts
Electrical Engineering,ART,76,9,Arts
English,EENG,30,18,Arts
English,CS,46,7,Engineering
Computer Science,EENG,60,20,Engineering
Computer Science,CS,45,12,Engineering
Physics,CS,71,15,Engineering
Physics,MATH,90,5,Science
Computer Science,CS,25,7,Engineering
Computer Science,EENG,98,15,Engineering
Computer Science,CS,22,6,Arts
English,PHYS,55,18,Arts
Computer Science,MATH,80,20,Arts
Electrical Engineering,MATH,47,13,Engineering
Physics,ART,49,14,Arts
Electrical Engineering,ART,39,10,Arts
Electrical Engineering,CS,77,13,Arts
Physics,EENG,97,13,Engineering
English,ENG,80,12,Arts
Physics,EENG,74,14,Science
Art,MATH,33,8,Science
Physics,ENG,64,12,Engineering
Mathematics,MATH,81,5,Science
Mathematics,ENG,78,6,Science
Physics,PHYS,93,17,Arts
Computer Science,MATH,80,19,Arts
Electrical Engineering,CS,45,18,Engineering
English,CS,99,19,Engineering
English,MATH,42,17,Arts
Electrical Engineering,ENG,85,5,Science
Computer Science,EENG,70,15,Arts
Electrical Engineering,ENG,100,17,Science
Computer Science,EENG,36,5,Science
Electrical Engineering,CS,23,16,Arts
Physics,CS,74,12,Arts
Physics,PHYS,36,20,Arts
Mathematics,MATH,82,17,Engineering
Mathematics,ENG,40,17,Science
Mathematics,PHYS,72,16,Engineering
Computer Science,EENG,79,20,Engineering
English,MATH,93,19,Arts
Physics,ENG,53,6,Science
Physics,ART,58,7,Arts
English,EENG,62,12,Arts
Electrical Engineering,PHYS,83,15,Science
Physics,EENG,51,7,Engineering
Electrical Engineering,ART,22,17,Science
Art,CS,55,20,Science
Computer Science,CS,28,12,Science
Computer Science,ART,71,15,Science
Computer Science,ART,100,6,Science
Art,ART,71,19,Engineering
Physics,ART,92,9,Science
Electrical Engineering,ENG,58,10,Science
Art,PHYS,22,19,Science
Computer Science,CS,75,8,Science
English,EENG,67,6,Engineering
Electrical Engineering,ART,83,9,Engineering
Mathematics,CS,71,10,Science
Computer Science,CS,95,14,Science
English,PHYS,88,15,Arts
Computer Science,CS,48,11,Science
Mathematics,EENG,89,14,Engineering
Electrical Engineering,ENG,100,10,Engineering
Computer Science,CS,53,9,Arts
Art,EENG,51,10,Engineering
Physics,CS,66,6,Engineering
English,ENG,44,14,Engineering
Mathematics,ENG,26,15,Engineering
English,MATH,81,18,Arts
Mathematics,ENG,75,13,Science
Electrical Engineering,EENG,50,17,Arts
Electrical Engineering,ENG,84,6,Science
Physics,CS,89,18,Arts
Physics,PHYS,77,7,Engineering
Physics,ART,92,8,Engineering
Computer Science,PHYS,22,10,Engineering
Mathematics,ART,89,15,Arts
Art,MATH,65,5,Science
Art,PHYS,83,14,Engineering
Electrical Engineering,EENG,86,15,Engineering
English,EENG,47,16,Arts
Art,ENG,89,5,Engineering
Art,MATH,20,12,Arts
English,EENG,24,20,Arts
Art,CS,78,16,Engineering
Physics,EENG,61,5,Engineering
English,CS,98,20,Science
Art,PHYS,43,19,Engineering
Mathematics,MATH,62,13,Arts
English,ENG,49,16,Arts
Physics,ART,82,20,Engineering
Electrical Engineering,PHYS,51,13,Engineering
Art,ENG,58,5,Arts
Physics,EENG,31,11,Arts
Computer Science,CS,78,13,Science
Electrical Engineering,ART,22,11,Engineering
Physics,PHYS,28,6,Science
Physics,PHYS,99,20,Arts
Electrical Engineering,MATH,48,18,Science
Physics,MATH,42,11,Engineering
English,ENG,24,7,Science
English,EENG,67,17,Engineering
Computer Science,ENG,53,17,Arts
Physics,CS,45,17,Arts
Art,PHYS,38,7,Arts
Electrical Engineering,MATH,62,5,Science
English,ENG,23,8,Engineering
Computer Science,CS,99,5,Engineering
Mathematics,ART,58,10,Engineering
Art,ENG,82,15,Engineering
Physics,CS,81,18,Engineering
Electrical Engineering,MATH,86,16,Engineering
Mathematics,PHYS,34,6,Arts
Mathematics,ENG,54,17,Science
English,CS,29,7,Engineering
Mathematics,ART,72,6,Arts
Physics,CS,42,14,Arts
Mathematics,ART,61,5,Engineering
Computer Science,ENG,94,14,Arts
Electrical Engineering,MATH,68,20,Engineering
Physics,CS,34,13,Science
Computer Science,PHYS,73,13,Science
Electrical Engineering,ENG,43,8,Engineering
Art,CS,54,6,Science
Art,MATH,45,20,Science
Art,PHYS,50,17,Engineering
Electrical Engineering,PHYS,73,15,Engineering
English,PHYS,98,16,Arts
Electrical Engineering,ART,44,11,Science
English,PHYS,27,13,Arts
Computer Science,CS,97,20,Engineering
Electrical Engineering,CS,35,11,Engineering
Computer Science,EENG,32,12,Engineering
Mathematics,ENG,56,5,Arts
Physics,PHYS,25,13,Science
Mathematics,MATH,32,11,Engineering
Mathematics,EENG,42,10,Science
Physics,ART,70,11,Arts
Electrical Engineering,CS,99,15,Arts
Art,CS,90,16,Science
Computer Science,ENG,63,5,Science
Mathematics,EENG,96,19,Arts
Computer Science,CS,55,20,Science
Art,ENG,29,20,Arts
Art,ART,79,18,Science
Electrical Engineering,MATH,69,16,Engineering
Art,ART,35,16,Engineering
English,ART,32,16,Engineering
Mathematics,CS,81,11,Engineering
Art,ART,95,13,Engineering
Mathematics,ART,23,18,Arts
Computer Science,MATH,52,8,Engineering
Mathematics,ART,92,8,Engineering
Physics,CS,72,5,Arts
English,PHYS,27,20,Engineering
English,EENG,39,20,Engineering
Physics,ENG,79,16,Science
Computer Science,ART,82,16,Engineering
Computer Science,MATH,49,8,Science
Art,ART,26,11,Science
English,ENG,23,20,Science
Computer Science,ENG,62,18,Arts
Computer Science,MATH,56,15,Arts
Computer Science,ENG,33,18,Arts
Electrical Engineering,ART,72,15,Science
Art,EENG,36,13,Arts
Mathematics,PHYS,89,8,Engineering
Mathematics,ART,62,5,Science
Electrical Engineering,PHYS,62,7,Science
English,EENG,76,16,Science
English,ART,33,13,Engineering
Electrical Engineering,ART,59,10,Engineering
Electrical Engineering,PHYS,23,16,Arts
Electrical Engineering,CS,22,6,Engineering
Art,PHYS,61,16,Science
Electrical Engineering,CS,66,20,Engineering
Art,MATH,90,11,Science
Art,PHYS,32,19,Science
Physics,ART,45,6,Engineering
Physics,PHYS,37,20,Science
Physics,MATH,22,15,Science
English,ART,86,14,Science
Computer Science,ART,58,12,Arts
Electrical Engineering,MATH,46,10,Arts
Electrical Engineering,EENG,22,8,Arts
Computer Science,CS,68,10,Arts
Computer Science,ENG,50,16,Arts
Mathematics,CS,74,6,Science
Computer Science,PHYS,84,10,Science
Computer Science,MATH,23,11,Arts
Art,ART,95,16,Arts
Electrical Engineering,CS,52,19,Engineering
Electrical Engineering,CS,50,6,Arts
Mathematics,PHYS,84,9,Science
English,CS,80,6,Engineering
Mathematics,EENG,75,20,Engineering
Computer Science,PHYS,21,16,Science
Computer Science,CS,86,18,Engineering
English,ART,54,9,Engineering
Mathematics,ART,54,17,Science
English,MATH,81,6,Arts
Physics,ENG,48,13,Arts
Electrical Engineering,EENG,79,14,Arts
Physics,MATH,53,5,Science
Art,PHYS,78,6,Arts
Computer Science,EENG,59,8,Science
Computer Science,MATH,50,7,Engineering
Art,EENG,57,20,Science
Art,MATH,78,15,Arts
Art,EENG,35,8,Engineering
Mathematics,ART,51,9,Science
Art,PHYS,72,5,Arts
Art,MATH,77,14,Engineering
English,MATH,85,12,Science
Computer Science,ART,98,8,Science
English,EENG,34,17,Arts
Computer Science,EENG,56,8,Engineering
Mathematics,ENG,31,19,Arts
Electrical Engineering,EENG,84,10,Engineering
Computer Science,ART,43,6,Arts
Electrical Engineering,EENG,52,8,Science
Art,ENG,95,10,Science
Art,ENG,62,14,Engineering
Art,PHYS,22,12,Arts
Electrical Engineering,MATH,69,8,Science
Computer Science,ENG,85,12,Arts
Art,EENG,96,10,Engineering
Electrical Engineering,PHYS,59,20,Engineering
Mathematics,PHYS,41,12,Engineering
Art,MATH,54,20,Engineering
Mathematics,PHYS,20,14,Science
English,MATH,65,11,Engineering
Electrical Engineering,MATH,50,8,Arts
Electrical Engineering,EENG,50,7,Science
Physics,CS,86,6,Arts
Electrical Engineering,EENG,67,7,Engineering
Mathematics,ENG,68,19,Science
Computer Science,ART,76,11,Engineering
Mathematics,ENG,52,14,Science
Physics,EENG,86,11,Science
Art,EENG,97,17,Science
Physics,MATH,40,18,Engineering
Physics,MATH,87,15,Science
Art,CS,87,14,Engineering
Art,EENG,47,18,Science
Computer Science,CS,43,12,Arts
English,CS,70,6,Science
Mathematics,EENG,20,16,Arts
Mathematics,ENG,84,15,Arts
Electrical Engineering,MATH,88,18,Arts
Computer Science,MATH,38,13,Science
Art,MATH,24,13,Arts
Art,MATH,20,5,Arts
Mathematics,CS,81,13,Engineering
Computer Science,CS,62,20,Engineering
Computer Science,CS,79,18,Engineering
Art,ART,25,9,Science
Mathematics,CS,47,12,Science
Computer Science,ART,84,20,Science
Physics,MATH,97,6,Science
Computer Science,ENG,34,20,Arts
English,ART,20,18,Engineering
English,MATH,46,12,Engineering
Physics,MATH,45,20,Arts
Art,PHYS,20,5,Arts
Computer Science,MATH,54,11,Science
English,EENG,75,14,Engineering
Art,CS,70,13,Science
Art,MATH,50,19,Engineering
Art,MATH,47,17,Arts
English,ART,45,8,Arts
Mathematics,ART,52,6,Arts
Physics,PHYS,93,11,Arts
Electrical Engineering,EENG,30,17,Science
Electrical Engineering,ENG,33,7,Arts
Art,PHYS,72,12,Engineering
Computer Science,ENG,87,13,Arts
Mathematics,MATH,73,10,Engineering
Physics,CS,77,16,Arts
Computer Science,ART,86,7,Science
Physics,ENG,42,20,Arts
Art,ART,37,13,Science
Mathematics,ENG,59,12,Science
Electrical Engineering,EENG,32,7,Science
Computer Science,CS,75,10,Engineering
Electrical Engineering,CS,61,9,Arts
English,ENG,77,20,Science
Physics,ART,95,15,Arts
English,EENG,58,15,Science
Art,CS,48,15,Arts
Electrical Engineering,ART,46,16,Engineering
English,PHYS,50,16,Arts
Physics,ART,52,5,Science
Art,ART,70,14,Science
Electrical Engineering,ENG,59,13,Science
Electrical Engineering,PHYS,79,12,Arts
Electrical Engineering,ART,48,8,Engineering
Mathematics,MATH,82,17,Science
English,MATH,89,11,Science
Physics,ENG,52,5,Engineering
Art,MATH,68,14,Arts
Electrical Engineering,PHYS,74,19,Arts
Mathematics,ART,89,15,Arts
Physics,CS,81,5,Arts
Art,CS,21,17,Science
English,ENG,57,19,Science
Physics,EENG,29,6,Engineering
Mathematics,ART,27,13,Arts
Mathematics,MATH,26,8,Arts
Art,EENG,93,19,Science
English,CS,21,8,Arts
Electrical Engineering,CS,35,11,Science
Mathematics,EENG,29,6,Engineering
Mathematics,MATH,67,20,Arts
Mathematics,EENG,39,11,Science
Computer Science,EENG,99,19,Science
Electrical Engineering,PHYS,22,19,Engineering
Physics,EENG,32,14,Science
Computer Science,PHYS,36,14,Science
Electrical Engineering,ENG,57,17,Science
Electrical Engineering,PHYS,68,5,Science
Physics,MATH,53,12,Arts
Computer Science,MATH,64,14,Arts
Computer Science,ENG,99,7,Arts
English,EENG,66,20,Arts
English,ART,100,18,Arts
Computer Science,PHYS,26,19,Science
Electrical Engineering,ART,81,14,Engineering
Mathematics,PHYS,60,18,Arts
Art,PHYS,69,8,Arts
Mathematics,EENG,31,5,Engineering
English,ART,41,15,Science
English,PHYS,34,15,Arts
Electrical Engineering,MATH,56,5,Engineering
Electrical Engineering,PHYS,61,12,Science
Mathematics,PHYS,95,17,Engineering
Computer Science,ART,61,20,Engineering
Electrical Engineering,MATH,20,14,Engineering
Electrical Engineering,PHYS,66,16,Engineering
Computer Science,CS,34,8,Engineering
English,PHYS,83,15,Engineering
Physics,CS,68,12,Arts
English,ART,31,19,Science
English,MATH,47,7,Engineering
Art,CS,66,20,Science
Art,EENG,73,17,Engineering
English,EENG,32,11,Arts
English,MATH,45,7,Arts
Physics,CS,45,17,Arts
Electrical Engineering,MATH,52,9,Science
Physics,MATH,73,16,Engineering
Electrical Engineering,ENG,79,15,Arts
English,ENG,92,9,Arts
Mathematics,ART,53,10,Engineering
Physics,PHYS,65,10,Science
Computer Science,PHYS,56,12,Arts
Mathematics,MATH,78,10,Arts
Electrical Engineering,CS,66,12,Science
Computer Science,MATH,58,18,Arts
Physics,ART,25,15,Science
Art,EENG,86,20,Science
Art,ENG,21,5,Science
Art,MATH,73,10,Science
Computer Science,ENG,35,17,Science
English,ENG,66,12,Arts
Physics,PHYS,73,19,Science
Physics,CS,57,6,Science
Computer Science,ART,37,20,Arts
Art,CS,64,13,Arts
Electrical Engineering,ENG,32,17,Science
English,CS,26,14,Engineering
Electrical Engineering,CS,23,14,Science
Art,EENG,60,18,Science
Mathematics,ENG,87,5,Engineering
Computer Science,MATH,91,9,Arts
English,ENG,45,18,Engineering
Physics,ENG,96,20,Science
Mathematics,MATH,66,7,Arts
Physics,PHYS,80,12,Arts
English,MATH,67,7,Science
Art,ENG,79,15,Science
Computer Science,ENG,50,16,Arts
Electrical Engineering,MATH,26,19,Arts
Computer Science,PHYS,64,10,Engineering
English,EENG,31,14,Science
Mathematics,EENG,76,11,Engineering
Physics,MATH,22,18,Engineering
English,ART,69,19,Arts
Art,CS,43,9,Engineering
Electrical Engineering,EENG,25,11,Engineering
Physics,EENG,37,9,Arts
Mathematics,EENG,79,5,Science
Computer Science,EENG,78,19,Arts
Art,CS,27,9,Science
English,CS,81,6,Science
Computer Science,ART,74,10,Science
English,ART,87,9,Engineering
Computer Science,MATH,22,7,Engineering
Computer Science,ENG,49,19,Arts
Physics,PHYS,38,9,Engineering
Physics,EENG,95,15,Arts
Electrical Engineering,MATH,90,11,Engineering
Physics,ART,33,14,Arts
English,EENG,23,10,Science
English,ENG,51,12,Arts
Mathematics,EENG,24,16,Science
Electrical Engineering,ART,46,7,Engineering
English,PHYS,75,7,Arts
Art,MATH,80,17,Science
Electrical Engineering,EENG,24,16,Arts
Computer Science,ART,22,14,Engineering
Mathematics,MATH,94,8,Arts
Physics,PHYS,97,6,Arts
Electrical Engineering,MATH,74,17,Science
English,CS,23,20,Science
English,CS,47,14,Engineering
English,ENG,47,18,Arts
Art,ENG,66,5,Arts
Electrical Engineering,CS,53,17,Arts
Electrical Engineering,CS,82,7,Engineering
Electrical Engineering,EENG,33,7,Science
English,ART,73,12,Arts
Electrical Engineering,MATH,34,13,Arts
Art,ENG,94,6,Science
Mathematics,MATH,100,15,Arts
Art,MATH,28,17,Arts
Art,MATH,44,18,Science
Physics,ART,68,14,Science
Art,ART,91,17,Engineering
English,ENG,74,15,Engineering
Art,ART,76,7,Arts
Electrical Engineering,ENG,66,14,Science
English,EENG,86,20,Arts
Mathematics,CS,72,17,Arts
Computer Science,PHYS,75,9,Engineering
English,PHYS,55,9,Engineering
Electrical Engineering,ENG,70,7,Science
Computer Science,EENG,26,18,Arts
Art,ART,34,13,Arts
Mathematics,MATH,38,6,Science
Computer Science,ENG,32,5,Engineering
Art,ENG,68,14,Arts
Art,EENG,59,18,Science
Electrical Engineering,ENG,81,9,Arts
Art,ENG,44,20,Arts
Electrical Engineering,CS,87,14,Engineering
Electrical Engineering,ART,71,5,Arts
Physics,ENG,81,11,Engineering
Computer Science,EENG,43,18,Engineering
Computer Science,PHYS,73,20,Engineering
Mathematics,EENG,31,12,Science
English,CS,84,11,Engineering
Mathematics,ENG,63,17,Science
Computer Science,EENG,86,8,Arts
Computer Science,MATH,60,8,Arts
Mathematics,ART,25,11,Science
Mathematics,CS,93,20,Science
Electrical Engineering,CS,85,11,Engineering
Computer Science,ART,85,15,Arts
English,EENG,66,7,Engineering
English,CS,99,6,Engineering
English,MATH,83,19,Science
Electrical Engineering,CS,76,15,Science
Art,ART,100,5,Arts
English,ENG,93,10,Science
English,EENG,29,13,Engineering
Art,CS,58,5,Engineering
English,PHYS,62,5,Engineering
Computer Science,PHYS,86,14,Science
Mathematics,PHYS,21,5,Engineering
Physics,MATH,37,11,Science
Mathematics,PHYS,35,10,Arts
Mathematics,ART,28,18,Arts
Physics,ENG,53,9,Arts
Physics,ART,97,5,Engineering
Computer Science,ENG,58,8,Science
Physics,EENG,27,19,Arts
English,EENG,85,8,Engineering
Physics,MATH,42,12,Arts
Electrical Engineering,EENG,26,10,Engineering
Art,EENG,31,9,Arts
Electrical Engineering,MATH,35,6,Engineering
Computer Science,MATH,54,9,Arts
Physics,CS,58,19,Science
Computer Science,PHYS,29,18,Arts
English,ART,46,13,Arts
Mathematics,ENG,81,13,Arts
Electrical Engineering,CS,61,13,Engineering
Physics,ENG,63,7,Engineering
Art,CS,32,6,Science
Computer Science,PHYS,48,6,Science
Computer Science,MATH,21,14,Arts
Physics,ART,81,12,Arts
Mathematics,MATH,74,12,Engineering
Mathematics,CS,22,11,Science
Electrical Engineering,CS,80,9,Science
Art,EENG,46,20,Science
Physics,EENG,31,6,Engineering
Physics,ENG,50,16,Arts
Electrical Engineering,PHYS,27,14,Science
Physics,CS,39,9,Engineering
Mathematics,PHYS,90,14,Engineering
Art,MATH,92,7,Arts
Electrical Engineering,ENG,63,19,Arts
Electrical Engineering,MATH,92,20,Engineering
Physics,PHYS,93,17,Engineering
Art,MATH,70,8,Arts
Art,EENG,58,15,Engineering
Mathematics,MATH,39,9,Engineering
Physics,MATH,83,6,Science
Computer Science,ART,27,12,Science
Mathematics,PHYS,55,16,Arts
Computer Science,PHYS,37,12,Science
Electrical Engineering,PHYS,94,9,Engineering
Mathematics,ART,63,20,Science
Art,CS,77,8,Science
Art,CS,50,11,Engineering
English,MATH,60,15,Engineering
Electrical Engineering,ENG,96,14,Engineering
Computer Science,ENG,97,9,Engineering
Mathematics,EENG,71,7,Science
Computer Science,ART,68,8,Arts
Art,PHYS,72,13,Science
Physics,CS,54,9,Engineering
English,ENG,63,19,Arts
English,EENG,82,15,Science
Art,EENG,70,7,Science
Mathematics,EENG,62,12,Science
English,PHYS,65,15,Arts
English,PHYS,77,13,Engineering
Art,ART,23,10,Arts
Physics,PHYS,29,18,Engineering
Electrical Engineering,PHYS,33,10,Science
English,PHYS,20,13,Arts
English,MATH,71,14,Arts
English,MATH,97,19,Arts
Computer Science,PHYS,80,19,Science
Physics,ENG,69,11,Science
Art,PHYS,95,10,Engineering
Mathematics,PHYS,45,13,Arts
Physics,ART,46,20,Engineering
Electrical Engineering,PHYS,90,9,Arts
Computer Science,EENG,80,6,Arts
English,CS,38,20,Arts
Art,EENG,97,13,Science
Art,CS,95,5,Science
Electrical Engineering,ART,96,6,Science
Mathematics,PHYS,72,20,Arts
Art,MATH,45,20,Science
Computer Science,ART,87,17,Arts
Art,PHYS,85,9,Arts
Art,ENG,77,16,Science
Electrical Engineering,EENG,54,15,Engineering
Mathematics,EENG,91,6,Engineering
Mathematics,CS,75,16,Science
Art,ART,81,6,Arts
Physics,PHYS,32,12,Arts
Mathematics,ENG,21,10,Arts
English,PHYS,47,19,Engineering
Electrical Engineering,CS,66,6,Science
Electrical Engineering,CS,28,18,Engineering
Computer Science,CS,39,18,Science
English,EENG,26,5,Arts
Art,MATH,82,12,Science
Mathematics,MATH,95,12,Engineering
Mathematics,ART,82,7,Science
Mathematics,ENG,67,13,Arts
Physics,ENG,84,14,Science
Computer Science,ENG,31,14,Arts
Computer Science,ENG,23,8,Engineering
English,ART,51,16,Engineering
Electrical Engineering,ART,59,17,Arts
Mathematics,ART,32,17,Arts
English,CS,85,15,Engineering
Art,EENG,99,7,Arts
Mathematics,EENG,76,9,Arts
Physics,ENG,72,8,Engineering
Mathematics,PHYS,85,9,Engineering
Physics,MATH,90,16,Engineering
English,EENG,39,18,Science
Physics,CS,49,18,Arts
Electrical Engineering,EENG,50,18,Engineering
Physics,PHYS,92,5,Arts
English,CS,63,20,Science
Computer Science,PHYS,27,19,Arts
Electrical Engineering,ENG,100,14,Science
Art,CS,33,13,Arts
Computer Science,ENG,81,20,Arts
Electrical Engineering,CS,38,9,Arts
Mathematics,ART,61,11,Engineering
Electrical Engineering,ENG,57,5,Arts
Computer Science,MATH,50,7,Science
Art,EENG,74,14,Arts
Physics,ART,54,14,Arts
Computer Science,EENG,91,6,Science
Electrical Engineering,MATH,83,5,Arts
English,EENG,39,12,Arts
